Run,serotype,antigen_formula,target_acc,biosample_acc,asm_acc,scientific_name
,,,PDT001716432.1,SAMN34209539,GCA_029913735.1,Klebsiella pneumoniae
,,,PDT001828568.1,SAMN35731263,GCA_030542465.1,Klebsiella pneumoniae
DRR150728,,,PDT001003346.1,SAMD00138183,GCA_021983935.1,Klebsiella pneumoniae
DRR389222,,,PDT001705119.1,SAMD00500718,GCA_030809355.1,Klebsiella pneumoniae subsp. pneumoniae
,,,PDT002086346.1,SAMN38811409,GCA_036860255.1,Klebsiella pneumoniae
,,,PDT002208301.1,SAMN41567295,GCA_040197815.1,Klebsiella pneumoniae
SRR10991716,,,PDT000714989.1,SAMN12774398,GCA_022196965.1,Klebsiella pneumoniae
,,,PDT000229889.1,SAMN06917638,GCA_002235435.1,Klebsiella pneumoniae
,,,PDT000292973.2,SAMN08579668,GCA_002970655.2,Klebsiella pneumoniae subsp. pneumoniae
DRR320010,,,PDT001198212.1,SAMD00399224,GCA_021875095.1,Klebsiella pneumoniae
,,,PDT001256445.1,SAMN23771434,GCA_022408075.1,Klebsiella pneumoniae
,,,PDT000532615.1,SAMN12082929,GCA_006459145.1,Klebsiella pneumoniae
,,,PDT001863987.2,SAMEA113934974,GCA_956478865.1,Klebsiella pneumoniae
SRR13246747,,,PDT001141120.1,SAMN15355763,GCA_021904995.1,Klebsiella pneumoniae
,,,PDT001497877.1,SAMN31690294,GCA_026274465.1,Klebsiella pneumoniae
,,,PDT002056602.1,SAMN27533016,GCA_035782975.1,Klebsiella aerogenes
DRR316642,,,PDT001370324.1,SAMD00397349,GCA_024471595.1,Klebsiella quasipneumoniae
,,,PDT002159336.1,SAMN37877894,GCA_039574905.1,Klebsiella pneumoniae
,,,PDT000663105.1,SAMN13675353,GCA_009825725.1,Klebsiella pneumoniae
SRR18486035,,,PDT001284063.1,SAMN26976313,GCA_022965155.1,Klebsiella pneumoniae
,,,PDT002245001.1,SAMN40477227,GCA_040563425.1,Klebsiella pneumoniae
SRR17830810,,,PDT001653340.1,SAMN25413105,GCA_029094625.1,Klebsiella pneumoniae
,,,PDT002178456.1,SAMN41467320,GCA_039847095.1,Klebsiella pneumoniae
,,,PDT002292083.1,SAMN37544655,GCA_041039345.1,Klebsiella pneumoniae
SRR17302300,,,PDT001243591.1,SAMN24018836,GCA_022102715.1,Klebsiella pneumoniae
,,,PDT001865701.1,SAMEA114111243,GCA_959612435.1,Klebsiella pneumoniae
SRR5385719,,,PDT000874779.1,SAMN06437986,GCA_022086835.1,Klebsiella pneumoniae
,,,PDT002208269.1,SAMN41567327,GCA_040197175.1,Klebsiella pneumoniae
