Run,serotype,antigen_formula,target_acc,biosample_acc,asm_acc,scientific_name
SRR26898127,,,PDT001994167.1,SAMN38342527,GCA_033890225.1,Pseudomonas aeruginosa
SRR18768261,,,PDT001343969.1,SAMN27565584,GCA_023953035.1,Pseudomonas aeruginosa
,,,PDT001085994.1,SAMN19947789,GCA_019166935.1,Pseudomonas aeruginosa
,,,PDT000422627.1,SAMN10523596,GCA_003955135.1,Pseudomonas aeruginosa
ERR8050601,,,PDT001359710.1,SAMEA12339069,GCA_024272165.1,Pseudomonas aeruginosa
,,,PDT001141406.1,SAMN21354787,GCA_020180515.1,Pseudomonas aeruginosa
,,,PDT000429937.1,SAMN10478522,GCA_003974695.1,Pseudomonas aeruginosa
,,,PDT002014269.1,SAMN38380588,GCA_034045885.1,Pseudomonas aeruginosa
,,,PDT001149156.1,SAMN21988698,GCA_020405505.1,Pseudomonas aeruginosa
ERR10431641,,,PDT001492959.1,SAMEA111505469,GCA_026359155.1,Pseudomonas aeruginosa
,,,PDT002146236.1,SAMN33819243,GCA_038439675.1,Pseudomonas aeruginosa
,,,PDT001611648.1,SAMN32164207,GCA_028567355.1,Pseudomonas aeruginosa
SRR12519096,,,PDT000821509.1,SAMN15907162,GCA_021669435.1,Pseudomonas aeruginosa
,,,PDT001414025.1,SAMN30618049,GCA_025130635.1,Pseudomonas aeruginosa
SRR12669012,,,PDT001221905.1,SAMN16203217,GCA_021590585.1,Pseudomonas aeruginosa
SRR17226521,,,PDT001346314.1,SAMN24018251,GCA_023934205.1,Pseudomonas aeruginosa
SRR13435694,,,PDT001222104.1,SAMN17311407,GCA_021586515.1,Pseudomonas aeruginosa
,,,PDT000096272.1,SAMN04128495,GCA_001449345.1,Pseudomonas aeruginosa
SRR26920773,,,PDT001997417.1,SAMN38370737,GCA_033931605.1,Pseudomonas aeruginosa
SRR26921364,,,PDT001997935.1,SAMN38370749,GCA_033921345.1,Pseudomonas aeruginosa
,,,PDT001577938.1,SAMN31170788,GCA_027857235.1,Pseudomonas aeruginosa
SRR13215062,,,PDT001210179.1,SAMN17024959,GCA_021597785.1,Pseudomonas aeruginosa
SRR14936063,,,PDT001286286.1,SAMN19855123,GCA_022985295.1,Pseudomonas aeruginosa
SRR11468131,,,PDT000753522.1,SAMN14523445,GCA_021696055.1,Pseudomonas aeruginosa
SRR18249694,,,PDT001683941.1,SAMN26350724,GCA_029638365.1,Pseudomonas aeruginosa
,,,PDT001413775.1,SAMN30617871,GCA_025123735.1,Pseudomonas aeruginosa
,,,PDT000068210.1,SAMN03566426,GCA_001036105.1,Pseudomonas aeruginosa
,,,PDT001601707.1,SAMN32874244,GCA_028403985.1,Pseudomonas aeruginosa
,,,PDT002023376.1,SAMEA114323782,GCA_963441975.1,Pseudomonas aeruginosa
SRR18768483,,,PDT001344191.1,SAMN27565759,GCA_023947995.1,Pseudomonas aeruginosa
,,,PDT000424961.1,SAMN09788338,GCA_003968325.1,Pseudomonas aeruginosa
,,,PDT000045391.1,SAMN03105528,GCA_000795365.1,Pseudomonas aeruginosa
,,,PDT000751114.1,SAMN14970743,GCA_013178495.1,Pseudomonas aeruginosa
SRR18768609,,,PDT001344317.1,SAMN27565492,GCA_023944895.1,Pseudomonas aeruginosa
SRR11467918,,,PDT000753309.1,SAMN14523493,GCA_021704355.1,Pseudomonas aeruginosa
SRR19575330,,,PDT001684431.1,SAMN28904946,GCA_029632025.1,Pseudomonas aeruginosa
,,,PDT000482988.1,SAMN10478330,GCA_004372045.1,Pseudomonas aeruginosa
,,,PDT001894193.1,SAMN31839915,GCA_031825435.1,Pseudomonas aeruginosa
,,,PDT001141381.1,SAMN21354813,GCA_020180015.1,Pseudomonas aeruginosa
,,,PDT001861836.1,SAMN36795974,GCA_030866885.1,Pseudomonas aeruginosa
ERR10011335,,,PDT001505151.1,SAMEA110424536,GCA_026534595.1,Pseudomonas aeruginosa
,,,PDT001897889.1,SAMN37429393,GCA_031846125.1,Pseudomonas aeruginosa
SRR17226200,,,PDT001345993.1,SAMN24018583,GCA_023922745.1,Pseudomonas aeruginosa
,,,PDT001737659.1,SAMEA112946005,GCA_950101515.1,Pseudomonas aeruginosa
,,,PDT002066851.1,SAMN39556504,GCA_036236895.1,Pseudomonas aeruginosa
,,,PDT000172868.1,SAMEA2357362,GCA_900145205.1,Pseudomonas aeruginosa
