Run,serotype,antigen_formula,target_acc,biosample_acc,asm_acc,scientific_name
SRR12519197,,,PDT000821609.3,SAMN15907194,GCA_016481785.3,Acinetobacter baumannii
,,,PDT002239583.1,SAMN36982072,GCA_040446375.1,Acinetobacter baumannii
DRR314398,,,PDT001201006.1,SAMD00396908,GCA_021146085.1,Acinetobacter baumannii
,,,PDT002172129.1,SAMN41379054,GCA_039715795.1,Acinetobacter baumannii
,,,PDT001231240.1,SAMN24967699,GCA_021569455.1,Acinetobacter baumannii
ERR11554380,,,PDT001898865.1,SAMEA113597778,GCA_031876515.1,Acinetobacter baumannii
SRR17304830,,,PDT001383059.1,SAMN24293924,GCA_024657875.1,Acinetobacter baumannii
SRR25501870,,,PDT001899140.1,SAMN36815359,GCA_031919725.1,Acinetobacter baumannii
,,,PDT000837968.1,SAMN14943615,GCA_014560835.1,Acinetobacter baumannii
,,,PDT000418799.1,SAMN10261552,GCA_003949015.1,Acinetobacter baumannii
SRR25791237,,,PDT001868967.2,SAMN37196463,GCA_031027965.2,Acinetobacter baumannii
,,,PDT001961288.1,SAMN37937879,GCA_033100615.1,Acinetobacter baumannii
,,,PDT002094408.1,SAMN40022411,GCA_036904955.1,Acinetobacter baumannii
SRR3216442,,,PDT000113146.2,SAMN04544432,GCA_016532805.2,Acinetobacter baumannii
SRR28531353,,,PDT002129738.1,SAMN40726964,GCA_037932835.1,Acinetobacter baumannii
,,,PDT000941532.1,SAMN17349174,GCA_016745805.1,Acinetobacter baumannii
,,,PDT001852474.1,SAMN35999029,GCA_030756315.1,Acinetobacter baumannii
SRR13619157,,,PDT000947572.3,SAMN17767359,GCA_017143595.3,Acinetobacter baumannii
,,,PDT001610210.1,SAMN32546193,GCA_028549535.1,Acinetobacter baumannii
SRR13158636,,,PDT000899235.3,SAMN16940775,GCA_016608545.3,Acinetobacter baumannii
,,,PDT002208093.1,SAMN41726563,GCA_040191795.1,Acinetobacter baumannii
SRR26085769,,,PDT001957026.1,SAMN37355442,GCA_033135465.1,Acinetobacter baumannii
SRR30252023,,,PDT002323284.1,SAMN43164786,GCA_041298345.1,Acinetobacter baumannii
,,,PDT001465031.1,SAMN31303967,GCA_025791795.1,Acinetobacter baumannii
SRR26763648,,,PDT002064855.1,SAMN38182628,GCA_036238475.1,Acinetobacter baumannii
,,,PDT000023536.2,SAMN02385042,GCA_000582965.2,Acinetobacter baumannii 655378
,,,PDT000134674.1,SAMN04993418,GCA_001664645.1,Acinetobacter baumannii
,,,PDT000162454.2,SAMEA1466038,GCA_900117965.2,Acinetobacter baumannii
,,,PDT002154451.1,SAMN41042566,GCA_039055125.1,Acinetobacter baumannii
SRR23455307,,,PDT001615612.3,SAMN33285588,GCA_028629065.3,Acinetobacter baumannii
SRR28292661,,,PDT002109526.1,SAMN40379243,GCA_037108275.1,Acinetobacter baumannii
SRR17785572,,,PDT001232703.3,SAMN25335180,GCA_021724955.3,Acinetobacter baumannii
,,,PDT000526405.1,SAMN08471717,GCA_006366355.1,Acinetobacter baumannii
SRR24324051,,,PDT001707446.3,SAMN34403785,GCA_031135525.2,Acinetobacter baumannii
,,,PDT000044612.1,SAMN02911268,GCA_000787315.1,Acinetobacter baumannii
SRR13428243,,,PDT000932146.3,SAMN17308403,GCA_016639395.3,Acinetobacter baumannii
SRR11589161,,,PDT000751292.1,SAMN14669810,GCA_016486745.1,Acinetobacter baumannii
SRR18568285,,,PDT001278729.3,SAMN27182074,GCA_022915675.3,Acinetobacter baumannii
,,,PDT000534484.1,SAMN12087735,GCA_006494065.1,Acinetobacter baumannii
,,,PDT000298140.1,SAMN08619568,GCA_003007615.1,Acinetobacter baumannii
,,,PDT002145403.1,SAMN41005207,GCA_038433475.1,Acinetobacter baumannii
,,,PDT000417662.1,SAMN10248992,GCA_003941065.1,Acinetobacter baumannii
SRR27746005,,,PDT002064698.1,SAMN39623881,GCA_036239245.1,Acinetobacter baumannii
SRR28812939,,,PDT002147210.1,SAMN41090536,GCA_038507645.1,Acinetobacter baumannii
,,,PDT002095324.1,SAMN39059579,GCA_036940525.1,Acinetobacter nosocomialis
,,,PDT000123380.1,SAMN03078663,GCA_001612095.1,Acinetobacter baumannii
SRR22455735,,,PDT001506184.1,SAMN31900809,GCA_026559955.1,Acinetobacter baumannii
SRR23447119,,,PDT001614427.3,SAMN33275044,GCA_028623825.3,Acinetobacter baumannii
SRR18748213,,,PDT001287167.3,SAMN27571674,GCA_022977895.3,Acinetobacter baumannii
SRR26499472,,,PDT001953061.2,SAMN37946732,GCA_033028385.2,Acinetobacter baumannii
,,,PDT001436829.1,SAMN28578923,GCA_025456915.1,Acinetobacter baumannii
,,,PDT002247559.1,SAMN38107921,GCA_040601295.1,Acinetobacter baumannii
SRR22455840,,,PDT001506289.1,SAMN31900264,GCA_026557495.1,Acinetobacter baumannii
SRR22455699,,,PDT001506148.1,SAMN31900870,GCA_026560665.1,Acinetobacter baumannii
,,,PDT001006716.1,SAMN16659975,GCA_017949155.1,Acinetobacter baumannii
SRR14852149,,,PDT001135160.1,SAMN19762845,GCA_020107755.1,Acinetobacter baumannii
SRR24298342,,,PDT001700731.3,SAMN34293337,GCA_031145415.2,Acinetobacter baumannii
,,,PDT001096655.1,SAMN20295786,GCA_019336525.1,Acinetobacter baumannii
,,,PDT002189162.1,SAMN41502700,GCA_040067715.1,Acinetobacter pittii
SRR24775142,,,PDT001765711.2,SAMN35365789,GCA_031141165.2,Acinetobacter baumannii
,,,PDT000051202.2,SAMN03084873,GCA_000949115.2,Acinetobacter baumannii
,,,PDT001218622.1,SAMN19523555,GCA_021386425.1,Acinetobacter baumannii
SRR18114180,,,PDT001336390.1,SAMN26199103,GCA_024023995.1,Acinetobacter baumannii
,,,PDT001006806.1,SAMN16659992,GCA_017950985.1,Acinetobacter baumannii
SRR30038030,,,PDT002276691.1,SAMN42914107,GCA_040959185.1,Acinetobacter baumannii
SRR16641513,,,PDT001165601.3,SAMN22660510,GCA_028063195.3,Acinetobacter baumannii
SRR27231368,,,PDT002036481.1,SAMN38862348,GCA_034526415.1,Acinetobacter baumannii
,,,PDT000156111.1,SAMN04745466,GCA_001862105.1,Acinetobacter baumannii
SRR29763013,,,PDT002246006.1,SAMN42394451,GCA_040590695.1,Acinetobacter baumannii
SRR21883616,,,PDT001469764.1,SAMN31262556,GCA_025896095.1,Acinetobacter baumannii
,,,PDT001766040.1,SAMN31927136,GCA_030131305.1,Acinetobacter baumannii
,,,PDT000510410.1,SAMN11607744,GCA_005786095.1,Acinetobacter baumannii
SRR17657429,,,PDT001226528.3,SAMN25076889,GCA_021524575.3,Acinetobacter baumannii
SRR25756501,,,PDT001860455.2,SAMN37144226,GCA_031097435.2,Acinetobacter baumannii
SRR25474696,,,PDT001836058.3,SAMN36781173,GCA_033198675.2,Acinetobacter baumannii
,,,PDT000730536.1,SAMN14595344,GCA_012955825.1,Acinetobacter baumannii
SRR28288197,,,PDT002107487.1,SAMN40376003,GCA_037103815.1,Acinetobacter baumannii
,,,PDT002059584.1,SAMEA114009808,GCA_958316955.1,Acinetobacter baumannii
,,,PDT000683289.1,SAMN14001783,GCA_010499875.1,Acinetobacter baumannii
,,,PDT002162030.1,SAMN40890912,GCA_039614465.1,Acinetobacter baumannii
,,,PDT000892994.1,SAMN14911893,GCA_015537155.1,Acinetobacter baumannii
,,,PDT001538554.1,SAMN30491433,GCA_027086175.1,Acinetobacter baumannii
,,,PDT002247282.1,SAMN38084992,GCA_040595985.1,Acinetobacter baumannii
,,,PDT001321000.1,SAMN28095949,GCA_023604955.1,Acinetobacter baumannii
,,,PDT000156165.1,SAMN04745544,GCA_001863205.1,Acinetobacter baumannii
DRR039878,,,PDT000173860.2,SAMD00034501,GCA_016516375.2,Acinetobacter baumannii
,,,PDT000711767.1,SAMN14299451,GCA_011601865.1,Acinetobacter baumannii
,,,PDT001771557.1,SAMN33430981,GCA_030197785.1,Acinetobacter baumannii
,,,PDT001922153.1,SAMN37358072,GCA_032464165.1,Acinetobacter baumannii
,,,PDT001473316.1,SAMN31419003,GCA_025938735.1,Acinetobacter baumannii
,,,PDT001750685.1,SAMN34352354,GCA_030055895.1,Acinetobacter baumannii
SRR27642266,,,PDT002058868.1,SAMN39502250,GCA_035925825.1,Acinetobacter baumannii
,,,PDT000191259.1,SAMN06117787,GCA_002016865.1,Acinetobacter baumannii
SRR26054234,,,PDT001884569.2,SAMN37385799,GCA_031464415.2,Acinetobacter baumannii
SRR23392269,,,PDT001611996.3,SAMN33227540,GCA_031137915.2,Acinetobacter baumannii
SRR21386371,,,PDT001407813.3,SAMN30627088,GCA_024855225.3,Acinetobacter baumannii
SRR28015269,,,PDT002082788.1,SAMN39998718,GCA_036742505.1,Acinetobacter baumannii
SRR23612599,,,PDT001645623.3,SAMN33438119,GCA_028913865.3,Acinetobacter baumannii
SRR13228548,,,PDT000907989.3,SAMN17039454,GCA_016470695.3,Acinetobacter baumannii
,,,PDT001610236.1,SAMN32546168,GCA_028550055.1,Acinetobacter baumannii
,,,PDT000342160.2,SAMEA1709828,GCA_900477165.2,Acinetobacter baumannii
,,,PDT000029862.1,SAMN02692963,GCA_000681695.1,Acinetobacter baumannii 23037
,,,PDT000012498.2,SAMN02471237,GCA_000309015.1,Acinetobacter calcoaceticus TG19588
,,,PDT001187407.1,SAMN23009114,GCA_020992045.1,Acinetobacter baumannii
SRR28871760,,,PDT002152846.1,SAMN41160143,GCA_039516465.1,Acinetobacter baumannii
SRR12519195,,,PDT000821607.3,SAMN15907196,GCA_016481405.3,Acinetobacter baumannii
SRR13228372,,,PDT000907975.3,SAMN17019566,GCA_028064655.3,Acinetobacter baumannii
,,,PDT001231415.1,SAMN24967512,GCA_021572955.1,Acinetobacter baumannii
SRR12743839,,,PDT000850517.3,SAMN16294035,GCA_016481125.3,Acinetobacter baumannii
,,,PDT002059898.1,SAMEA114009783,GCA_958324405.1,Acinetobacter baumannii
SRR17311746,,,PDT001210605.3,SAMN24300511,GCA_021273725.3,Acinetobacter baumannii
,,,PDT002332934.1,SAMN43154256,GCA_041403385.1,Acinetobacter baumannii
,,,PDT001817144.1,SAMN36008413,GCA_030449315.1,Acinetobacter baumannii
SRR23462777,,,PDT001616133.3,SAMN33303310,GCA_028646245.3,Acinetobacter baumannii
,,,PDT002174441.1,SAMN40205323,GCA_039769955.1,Acinetobacter baumannii
SRR27285955,,,PDT002036484.1,SAMN38817367,GCA_034507495.1,Acinetobacter baumannii
SRR20700898,,,PDT001373658.3,SAMN30031182,GCA_024535055.3,Acinetobacter baumannii
,,,PDT001006891.1,SAMN16659804,GCA_017952685.1,Acinetobacter baumannii
SRR22710443,,,PDT001525289.3,SAMN32192628,GCA_026887695.3,Acinetobacter baumannii
ERR1946945,,,PDT000424032.1,SAMEA25870168,GCA_016513785.1,Acinetobacter baumannii
,,,PDT002241438.1,SAMN42081544,GCA_040532955.1,Acinetobacter baumannii
,,,PDT000354441.1,SAMEA104305343,GCA_900496145.1,Acinetobacter baumannii
,,,PDT001741461.1,SAMN27010279,GCA_029713805.1,Acinetobacter baumannii
,,,PDT000605776.1,SAMD00174857,GCA_008982305.1,Acinetobacter baumannii
SRR16610165,,,PDT001164046.3,SAMN22568471,GCA_020677645.3,Acinetobacter baumannii
,,,PDT000046659.3,SAMN03268811,GCA_000809065.3,Acinetobacter baumannii
SRR28330424,,,PDT001993119.2,SAMN38334933,GCA_033858535.2,Acinetobacter baumannii
,,,PDT001808842.1,SAMN33225769,GCA_030404555.1,Acinetobacter pittii
SRR23362577,,,PDT001609365.3,SAMN33190957,GCA_028547035.3,Acinetobacter baumannii
ERR7281314,,,PDT001469599.1,SAMEA10922427,GCA_025897615.1,Acinetobacter baumannii
SRR21201074,,,PDT001398022.3,SAMN30498049,GCA_024867225.3,Acinetobacter baumannii
,,,PDT002189175.1,SAMN41502630,GCA_040068255.1,Acinetobacter pittii
SRR23652639,,,PDT001648429.3,SAMN33193792,GCA_028905125.3,Acinetobacter baumannii
,,,PDT002059747.1,SAMEA114009952,GCA_958320215.1,Acinetobacter baumannii
,,,PDT001046532.1,SAMN17372108,GCA_018447265.1,Acinetobacter baumannii
SRR28887066,,,PDT002154090.1,SAMN41190206,GCA_039510105.1,Acinetobacter baumannii
,,,PDT001002323.1,SAMN18594555,GCA_017837705.1,Acinetobacter nosocomialis
SRR27905218,,,PDT002073687.1,SAMN39856822,GCA_036449665.1,Acinetobacter baumannii
